Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,87.699997,87.900002,86.209999,86.279999,42.415344,192100
2003-01-03,86.150002,86.540001,85.830002,86.480003,42.513672,311200
2003-01-06,86.169998,86.290001,85.809998,86.250000,42.400597,35600
2003-01-07,86.190002,86.750000,86.169998,86.559998,42.552994,69800
2003-01-08,86.879997,87.139999,86.779999,86.989998,42.764374,160100
2003-01-09,86.169998,86.169998,85.019997,85.320000,41.943405,237500
2003-01-10,85.919998,85.919998,85.120003,85.540001,42.051582,145200
2003-01-13,85.540001,85.870003,85.400002,85.680000,42.120396,53300
2003-01-14,86.000000,86.279999,85.959999,85.980003,42.267868,98900
2003-01-15,86.279999,86.699997,86.199997,86.400002,42.474346,129600
2003-01-16,86.379997,86.599998,85.620003,86.519997,42.533356,57900
2003-01-17,87.099998,87.239998,86.930000,86.949997,42.744724,97700
2003-01-21,86.879997,87.449997,86.800003,87.449997,42.990505,107500
2003-01-22,87.680000,87.900002,87.519997,87.879997,43.201900,107100
2003-01-23,87.320000,87.699997,87.300003,87.449997,42.990505,110700
2003-01-24,87.739998,88.440002,87.739998,87.970001,43.246147,285300
2003-01-27,87.900002,88.040001,87.500000,87.650002,43.088848,150500
2003-01-28,87.650002,87.779999,87.099998,87.650002,43.088848,454700
2003-01-29,87.830002,87.879997,86.980003,87.169998,42.852871,221400
2003-01-30,87.199997,87.900002,87.099998,87.820000,43.172436,108600
2003-01-31,87.900002,88.209999,87.540001,88.059998,43.290424,182300
2003-02-03,87.669998,87.910004,87.309998,87.879997,43.353535,55200
2003-02-04,88.370003,88.400002,88.110001,88.269997,43.545948,56900
2003-02-05,88.230003,88.699997,87.430000,87.510002,43.170998,223300
2003-02-06,87.839996,88.260002,87.790001,88.220001,43.521255,120900
2003-02-07,87.769997,88.519997,87.629997,88.419998,43.619915,247200
2003-02-10,88.120003,88.400002,87.690002,87.800003,43.314091,76600
2003-02-11,87.599998,87.910004,87.430000,87.779999,43.304199,259100
2003-02-12,87.800003,88.129997,87.669998,88.089996,43.457127,121300
2003-02-13,88.269997,89.180000,88.169998,88.570000,43.693916,440200
2003-02-14,88.300003,88.370003,87.610001,87.809998,43.318996,829700
2003-02-18,87.559998,87.980003,87.339996,87.919998,43.373291,213200
2003-02-19,88.389999,88.699997,88.250000,88.519997,43.669258,62100
2003-02-20,88.339996,88.900002,88.339996,88.820000,43.817276,486700
