Date,Open,High,Low,Close
2005/01/03,148.51,148.51,148.51,148.51
2005/01/04,145.67,145.67,145.67,145.67
2005/01/05,145.35,145.35,145.35,145.35
2005/01/06,144.53,144.53,144.53,144.53
2005/01/07,144.26,144.26,144.26,144.26
2005/01/10,144.5,144.5,144.5,144.5
2005/01/11,144.63,144.63,144.63,144.63
2005/01/12,144.96,144.96,144.96,144.96
2005/01/13,144.78,144.78,144.78,144.78
2005/01/14,144.98,144.98,144.98,144.98
2005/01/17,145.14,145.14,145.14,145.14
2005/01/18,145.26,145.26,145.26,145.26
2005/01/19,144.93,144.93,144.93,144.93
2005/01/20,144,144,144,144
2005/01/21,144.46,144.46,144.46,144.46
2005/01/24,144.58,144.58,144.58,144.58
2005/01/25,144.17,144.17,144.17,144.17
2005/01/26,144.72,144.72,144.72,144.72
2005/01/27,144.72,144.72,144.72,144.72
2005/01/28,144.56,144.56,144.56,144.56
2005/01/31,144.98,144.98,144.98,144.98
2005/02/01,144.94,144.94,144.94,144.94
2005/02/02,145.13,145.13,145.13,145.13
2005/02/03,144.79,144.79,144.79,144.79
2005/02/04,145.73,145.73,145.73,145.73
2005/02/07,146.24,146.24,146.24,146.24
2005/02/08,146.02,146.02,146.02,146.02
2005/02/09,145.88,145.88,145.88,145.88
2005/02/10,146.07,146.07,146.07,146.07
2005/02/11,146.47,146.47,146.47,146.47
2005/02/14,146.32,146.32,146.32,146.32
2005/02/15,145.95,145.95,145.95,145.95
2005/02/16,145.6,145.6,145.6,145.6
2005/02/17,145.62,145.62,145.62,145.62
2005/02/18,145.77,145.77,145.77,145.77
2005/02/21,145.83,145.83,145.83,145.83
2005/02/22,145.36,145.36,145.36,145.36
2005/02/23,145.4,145.4,145.4,145.4
2005/02/24,145.47,145.47,145.47,145.47
2005/02/25,145.91,145.91,145.91,145.91
2005/02/28,146.47,146.47,146.47,146.47
2005/03/01,146.34,146.34,146.34,146.34
2005/03/02,146.32,146.32,146.32,146.32
2005/03/03,146.9,146.9,146.9,146.9
2005/03/04,147.77,147.77,147.77,147.77
2005/03/07,148.14,148.14,148.14,148.14
2005/03/08,148.8,148.8,148.8,148.8
2005/03/09,148.42,148.42,148.42,148.42
2005/03/10,147.84,147.84,147.84,147.84
2005/03/11,148.49,148.49,148.49,148.49
2005/03/14,148.02,148.02,148.02,148.02
2005/03/15,148.35,148.35,148.35,148.35
2005/03/16,148.57,148.57,148.57,148.57
2005/03/17,148.03,148.03,148.03,148.03
2005/03/18,148.34,148.34,148.34,148.34
2005/03/21,147.25,147.25,147.25,147.25
2005/03/22,147.4,147.4,147.4,147.4
2005/03/23,145.64,145.64,145.64,145.64
2005/03/24,145.92,145.92,145.92,145.92
2005/03/25,145.96,145.96,145.96,145.96
2005/03/28,146.14,146.14,146.14,146.14
2005/03/29,146.04,146.04,146.04,146.04
2005/03/30,146.23,146.23,146.23,146.23
2005/03/31,146.93,146.93,146.93,146.93
2005/04/01,147.07,147.07,147.07,147.07
2005/04/04,147.38,147.38,147.38,147.38
2005/04/05,147.24,147.24,147.24,147.24
2005/04/06,147.07,147.07,147.07,147.07
2005/04/07,146.77,146.77,146.77,146.77
2005/04/08,146.6,146.6,146.6,146.6
2005/04/11,146.4,146.4,146.4,146.4
2005/04/12,145.67,145.67,145.67,145.67
2005/04/13,144.81,144.81,144.81,144.81
2005/04/14,144.73,144.73,144.73,144.73
2005/04/15,143.45,143.45,143.45,143.45
2005/04/18,142.48,142.48,142.48,142.48
2005/04/19,143.6,143.6,143.6,143.6
2005/04/20,143.88,143.88,143.88,143.88
2005/04/21,143.35,143.35,143.35,143.35
2005/04/22,144.02,144.02,144.02,144.02
2005/04/25,143.92,143.92,143.92,143.92
2005/04/26,143.76,143.76,143.76,143.76
2005/04/27,143.48,143.48,143.48,143.48
2005/04/28,144.23,144.23,144.23,144.23
2005/04/29,143.99,143.99,143.99,143.99
2005/05/02,143.83,143.83,143.83,143.83
2005/05/03,143.44,143.44,143.44,143.44
2005/05/04,143.26,143.26,143.26,143.26
2005/05/05,143.66,143.66,143.66,143.66
2005/05/06,143.2,143.2,143.2,143.2
2005/05/09,142.74,142.74,142.74,142.74
2005/05/10,143.1,143.1,143.1,143.1
2005/05/11,143.51,143.51,143.51,143.51
2005/05/12,143.54,143.54,143.54,143.54
2005/05/13,143.72,143.72,143.72,143.72
2005/05/16,142.98,142.98,142.98,142.98
2005/05/17,143.07,143.07,143.07,143.07
2005/05/18,143.14,143.14,143.14,143.14
2005/05/19,142.83,142.83,142.83,142.83
2005/05/20,143.15,143.15,143.15,143.15
2005/05/23,143.22,143.22,143.22,143.22
2005/05/24,143.9,143.9,143.9,143.9
2005/05/25,143.92,143.92,143.92,143.92
2005/05/26,144.48,144.48,144.48,144.48
2005/05/27,144.09,144.09,144.09,144.09
2005/05/30,144.37,144.37,144.37,144.37
2005/05/31,146.08,146.08,146.08,146.08
2005/06/01,147.35,147.35,147.35,147.35
2005/06/02,147.05,147.05,147.05,147.05
2005/06/03,147.06,147.06,147.06,147.06
2005/06/06,146.99,146.99,146.99,146.99
2005/06/07,147.64,147.64,147.64,147.64
2005/06/08,147.83,147.83,147.83,147.83
2005/06/09,148.23,148.23,148.23,148.23
2005/06/10,148.24,148.24,148.24,148.24
2005/06/13,148.41,148.41,148.41,148.41
2005/06/14,148.59,148.59,148.59,148.59
2005/06/15,147.32,147.32,147.32,147.32
2005/06/16,147.66,147.66,147.66,147.66
2005/06/17,146.96,146.96,146.96,146.96
2005/06/20,148.12,148.12,148.12,148.12
2005/06/21,148.47,148.47,148.47,148.47
2005/06/22,149.7,149.7,149.7,149.7
2005/06/23,150.5,150.5,150.5,150.5
2005/06/24,150.07,150.07,150.07,150.07
2005/06/27,149.49,149.49,149.49,149.49
2005/06/28,149.13,149.13,149.13,149.13
2005/06/29,148.89,148.89,148.89,148.89
2005/06/30,148.89,148.89,148.89,148.89
2005/07/01,150.2,150.2,150.2,150.2
2005/07/04,149.99,149.99,149.99,149.99
2005/07/05,149.66,149.66,149.66,149.66
2005/07/06,149.81,149.81,149.81,149.81
2005/07/07,149.36,149.36,149.36,149.36
2005/07/08,149.35,149.35,149.35,149.35
2005/07/11,148.19,148.19,148.19,148.19
2005/07/12,147.35,147.35,147.35,147.35
