Date,Open,High,Low,Close,Adj Close,Volume
2003-01-02,88.849998,91.300003,88.540001,91.070000,60.929474,44516300
2003-01-03,90.910004,91.379997,90.500000,91.349998,61.116791,32222600
2003-01-06,91.239998,93.489998,91.169998,92.959999,62.193970,40984500
2003-01-07,92.900002,93.370003,92.199997,92.730003,62.040047,38640400
2003-01-08,92.199997,92.400002,91.050003,91.389999,61.143528,38702200
2003-01-09,91.820000,93.180000,91.410004,92.809998,62.093586,34804900
2003-01-10,91.949997,93.639999,91.800003,93.059998,62.260822,37768900
2003-01-13,93.540001,93.860001,92.440002,93.029999,62.240765,31649900
2003-01-14,92.690002,93.830002,92.410004,93.330002,62.441494,30733000
2003-01-15,93.540001,93.570000,91.910004,92.400002,61.819256,33511800
2003-01-16,92.500000,92.930000,91.449997,92.019997,61.565033,44812100
2003-01-17,90.989998,92.300003,90.150002,90.660004,60.655155,35618300
2003-01-21,90.870003,90.919998,88.949997,89.250000,59.711784,36826200
2003-01-22,88.769997,89.800003,88.000000,88.169998,58.989246,42286500
2003-01-23,88.750000,89.379997,87.949997,88.709999,59.350510,55919800
2003-01-24,88.589996,88.680000,86.169998,86.379997,57.791649,68633900
2003-01-27,85.730003,86.800003,84.500000,85.199997,57.002163,57884400
2003-01-28,85.629997,86.400002,85.129997,85.830002,57.423710,46929100
2003-01-29,85.419998,87.180000,84.769997,86.480003,57.858578,53712200
2003-01-30,86.790001,86.879997,84.400002,84.430000,56.487041,49845900
2003-01-31,84.150002,86.209999,84.150002,86.059998,57.577572,55317000
2003-02-03,86.139999,86.809998,85.919998,86.230003,57.691299,39696000
2003-02-04,85.309998,85.750000,84.300003,85.379997,57.122612,43633400
2003-02-05,85.750000,86.540001,84.480003,84.849998,56.768028,55270600
2003-02-06,84.370003,84.889999,83.650002,84.449997,56.500404,53638000
2003-02-07,84.910004,84.989998,82.970001,83.419998,55.811291,43165000
2003-02-10,83.459999,84.129997,82.650002,84.010002,56.206039,45455900
2003-02-11,84.370003,84.879997,82.830002,83.430000,55.817978,46861000
2003-02-12,83.160004,83.620003,82.089996,82.099998,54.928139,35873600
